ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,taxon_2_IdeTaxonRef_key,taxon_2_taxon_irn,taxon_2_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab,col_3_ColCollectorRef_key,col_3_Collector_irn,col_3_NamFullName,col_3_NamBriefName,col_3_NamFirst,col_3_NamMiddle,col_3_NamLast,col_3_NamPartyType,col_3_NamSource,col_3_NamExternalReferences_tab,col_3_NamOrganisationOtherNames_tab,col_3_NamOtherNames_tab,col_3_NamRoles_tab
51,http://fm-digital-assets.fieldmuseum.org/1747/017/C0677348F.jpg,3872034,C0677348F,599454.0,,Anemia,adiantifolia,,,,3445,1913-02-04,1913-02-16,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,51,4382,104451,,,,50.0,47083.0,Joseph N. Rose,J. N. Rose,Joseph,Nelson,Rose,Person,Botany Master,ASA Botanist ID 100737,,,Collector (Botany),51.0,77027.0,William R. Fitch,W. R. Fitch,William,R.,Fitch,Person,Botany Master,ASA Botanist ID 130226,,,,52.0,62638.0,Paul G. Russell,P. G. Russell,Paul,George,Russell,Person,Botany Master,ASA Botanist ID 146130,,,
52,http://fm-digital-assets.fieldmuseum.org/1825/317/C0673998F.jpg|http://fm-digital-assets.fieldmuseum.org/176/617/_PTER_poly_aure_1779981.jpg,398556,C0673998F,1779981.0,,Phlebodium,aureum,,,,18,1974-10-26,,1974-10-26,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,52,62654,101053,53.0,377867.0,377875.0,53.0,40683.0,Carroll Holland,C. Holland,Carroll,,Holland,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,3933337,V0456984F,500483.0,,Peperomia,rotundifolia,,,,123,1920-02-16,1920-02-17,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,54,57305,56868,,,,54.0,77038.0,William R. Maxon,W. R. Maxon,William,Ralph,Maxon,Person,Botany Master,ASA Botanist ID 139373,,,,55.0,27550.0,Ellsworth P. Killip,E. P. Killip,Ellsworth,Paine,Killip,Person,Botany Master,ASA Botanist ID 101393,,,Collector (Botany),,,,,,,,,,,,,
54,http://fm-digital-assets.fieldmuseum.org/1957/931/V0475202F.jpg,3953280,V0475202F,1263214.0,,Acalypha,chamaedrifolia,,,,910,1937-07-24,,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,55,682057,89675,,,,56.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
55,http://fm-digital-assets.fieldmuseum.org/1966/630/V0476175F.jpg,3957004,V0476175F,599542.0,,Argythamnia,polygama,,,,3273,1913-02-04,1913-02-16,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,56,682454,89684,,,,57.0,47083.0,Joseph N. Rose,J. N. Rose,Joseph,Nelson,Rose,Person,Botany Master,ASA Botanist ID 100737,,,Collector (Botany),58.0,5645.0,et al.,et al.,,,et al.,Person,FMNH Master,,,,"Author (Insects)
Collector (Insects)",,,,,,,,,,,,,
56,http://fm-digital-assets.fieldmuseum.org/995/278/THEO_jacq_arbo_1500888.jpg,589676,,1500888.0,,Jacquinia,arborea,,,,2510,1958-12-29,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,57,289032,107303,,,,59.0,1537.0,Jonathan D. Sauer,J. D. Sauer,Jonathan,Deininger,Sauer,Person,Botany Master; IPNI 8947-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,http://fm-digital-assets.fieldmuseum.org/1747/021/C0677350F.jpg,3872036,C0677350F,1738573.0,,Anemia,adiantifolia,,,,006,1974-06-12,,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,58,4382,104451,,,,60.0,40683.0,Carroll Holland,C. Holland,Carroll,,Holland,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,http://fm-digital-assets.fieldmuseum.org/1752/473/C0662255F.jpg,3875012,C0662255F,1738572.0,,Asplenium,cristatum,,,,5,1973-06-12,,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,59,7103,84708,,,,61.0,40683.0,Carroll Holland,C. Holland,Carroll,,Holland,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,http://fm-digital-assets.fieldmuseum.org/1830/176/C0674265F.jpg,3964863,C0674265F,1780740.0,,Pteris,vittata,,,,027,1976-07-12,,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,60,290457,102074,,,,62.0,40683.0,Carroll Holland,C. Holland,Carroll,,Holland,Person,Botany Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,http://fm-digital-assets.fieldmuseum.org/1842/342/C0662356F.jpg,3979721,C0662356F,1244780.0,,Dryopteris,pedata,,,,226,1932-01-,,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,61,610160,89237,,,,63.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
61,,3933238,V0456912F,1260704.0,,Peperomia,obtusifolia,,,,1461,1938-05-28,,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,62,57203,56868,,,,64.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
62,,3933336,V0456983F,146642.0,,Peperomia,rotundifolia,,,,8363,1902-07-14,,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,63,57305,56868,,,,65.0,76835.0,William H. Harris,Wm. Harris,William,H.,Harris,Person,Botany Master,ASA Botanist ID 104190,,"W. Harris
Wm. Harris",Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
63,,3933335,V0456981F,1263658.0,,Peperomia,rotundifolia,,,,1212,1937-10-24,,,4249,,,,,Antigua And Barbuda,Antigua And Barbuda,,,17.05,17  03 00 N,-61.8,61 48 00 W,21540,64,57305,56868,,,,66.0,37253.0,Harold E. Box,H. E. Box,Harold,Edmund,Box,Person,Botany Master,ASA Botanist ID 113142,,,Collector (Botany),,,,,,,,,,,,,,,,,,,,,,,,,,
64,http://fm-digital-assets.fieldmuseum.org/2108/687/V0495830F.jpg,3998977,V0495830F,1668727.0,,Croton,flavens,,,,7229,1964-07-08,1964-07-09,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,65,21653,89693,,,,67.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),68.0,105035.0,E. L. Dunn,E. L. Dunn,E.,L.,Dunn,Person,Botany Master,,,,,,,,,,,,,,,,,
65,http://fm-digital-assets.fieldmuseum.org/2108/688/V0495831F.jpg,3998979,V0495831F,1668730.0,,Croton,flavens,,,,7604,1964-07-24,,,750,,,,,,Antigua And Barbuda,,,17.05,17  03  N,-61.8,61 48  W,4249,66,21653,89693,,,,69.0,5581.0,Robert L. Wilbur,R. L. Wilbur,Robert,Lynch,Wilbur,Person,Botany Master,ASA Botanist ID 107238,,R. Wilbur,Collector (Botany),70.0,5645.0,et al.,et al.,,,et al.,Person,FMNH Master,,,,"Author (Insects)
Collector (Insects)",,,,,,,,,,,,,
