ecatalogue_key,DarImageURL,catalog_irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,site_irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,site_parent_irn,taxon_1_IdeTaxonRef_key,taxon_1_taxon_irn,taxon_1_taxon_parent_irn,col_1_ColCollectorRef_key,col_1_Collector_irn,col_1_NamFullName,col_1_NamBriefName,col_1_NamFirst,col_1_NamMiddle,col_1_NamLast,col_1_NamPartyType,col_1_NamSource,col_1_NamExternalReferences_tab,col_1_NamOrganisationOtherNames_tab,col_1_NamOtherNames_tab,col_1_NamRoles_tab,col_2_ColCollectorRef_key,col_2_Collector_irn,col_2_NamFullName,col_2_NamBriefName,col_2_NamFirst,col_2_NamMiddle,col_2_NamLast,col_2_NamPartyType,col_2_NamSource,col_2_NamExternalReferences_tab,col_2_NamOrganisationOtherNames_tab,col_2_NamOtherNames_tab,col_2_NamRoles_tab
41,http://fm-digital-assets.fieldmuseum.org/1848/465/C0363713F.jpg,3984456,C0363713F,142477.0,,Ophioglossum,reticulatum,,,,6235a,,,s.d.,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,41.0,53386.0,382941.0,41.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
42,http://fm-digital-assets.fieldmuseum.org/1881/491/C0677394F.jpg,4021132,C0677394F,1474221.0,,Lindsaea,,,,,1309,1945-10-19,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,42.0,297642.0,88722.0,42.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
43,http://fm-digital-assets.fieldmuseum.org/1995/832/C0383565F.jpg,4124399,C0383565F,596520.0,,Cyathea,lindigii,,,,s.n.,,,s.d.,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,43.0,579563.0,88511.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,http://fm-digital-assets.fieldmuseum.org/1995/833/C0383566F.jpg,4124400,C0383566F,596518.0,,Cyathea,lindigii,,,,s.n.,,,s.d.,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,44.0,579563.0,88511.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,http://fm-digital-assets.fieldmuseum.org/1995/690/C0383619F.jpg,4124259,C0383619F,179517.0,,Selaginella,substipitata,,,,1662,1897-03-31,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,45.0,623120.0,104651.0,43.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
46,http://fm-digital-assets.fieldmuseum.org/1998/044/C0357437F.jpg,4126773,C0357437F,190822.0,,Megalastrum,,,,,1860,1906-05-05,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,46.0,47232.0,89249.0,44.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
47,http://fm-digital-assets.fieldmuseum.org/1989/703/C0359208F.jpg,4119146,C0359208F,1474233.0,,Blechnum,binervatum,,,,1299,1945-10-16,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,47.0,10385.0,85307.0,45.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
48,http://fm-digital-assets.fieldmuseum.org/1982/902/C0383450F.jpg,4105923,C0383450F,190824.0,,Asplenium,cultrifolium,,,,1863,1906-03-,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,48.0,603076.0,84708.0,46.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
49,http://fm-digital-assets.fieldmuseum.org/1982/907/C0383455F.jpg,4105928,C0383455F,190856.0,,Asplenium,myriophyllum,,,,s. n.,1906-02-02,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,49.0,7140.0,84708.0,47.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
50,http://fm-digital-assets.fieldmuseum.org/1989/684/C0359190F.jpg,4119128,C0359190F,1474265.0,,Blechnum,occidentale,,,,1322,1945-10-25,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,50.0,10399.0,85307.0,48.0,62170.0,Pamela Beard,P. Beard,Pamela,,Beard,Person,Botany Master,ASA Botanist ID 132892,,,,,,,,,,,,,,,,
51,http://fm-digital-assets.fieldmuseum.org/1991/608/C0358579F.jpg,4120702,C0358579F,142447.0,,Pecluma,divaricata,,,,6076,,,s.d.,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,51.0,56594.0,56586.0,49.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
52,http://fm-digital-assets.fieldmuseum.org/1989/663/C0359171F.jpg,4119109,C0359171F,175973.0,,Blechnum,occidentale,,,,s.n.,1905-03-16,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,52.0,10399.0,85307.0,50.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
53,http://fm-digital-assets.fieldmuseum.org/1989/666/C0359174F.jpg,4119112,C0359174F,568872.0,,Blechnum,occidentale,,,,s.n.,1924-03-11,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,53.0,10399.0,85307.0,51.0,34370.0,Gerrit S. Miller,G. S. Miller,Gerrit,Smith,Miller,Person,Botany Master,,,,,,,,,,,,,,,,,
54,http://fm-digital-assets.fieldmuseum.org/1997/554/C0383377F_a.jpg|http://fm-digital-assets.fieldmuseum.org/1997/555/C0383377F_b.jpg,4126321,C0383377F,596524.0,,Grammitis,serrulata,,,,s.n.,,,s.d.,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,54.0,380815.0,91658.0,,,,,,,,,,,,,,,,,,,,,,,,,,
55,http://fm-digital-assets.fieldmuseum.org/1995/673/C0383421F.jpg,4124242,C0383421F,142436.0,,Selaginella,umbrosa,,,,6004,,,s.d.,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,55.0,383041.0,104651.0,52.0,38023.0,Henrik F. A. von Eggers,H. F. A. von Eggers,Henrik,Franz Alexander,von Eggers,Person,Botany Master,ASA Botanist ID 101402 | 128795,,,Collector (Botany),,,,,,,,,,,,,
56,http://fm-digital-assets.fieldmuseum.org/1997/674/C0383993F_a.jpg|http://fm-digital-assets.fieldmuseum.org/1997/675/C0383993F_b.jpg,4126410,C0383993F,176360.0,,Azolla,,,,,179,1905-04-19,,,21091,,,,,Grenada,Grenada,,,12.1167,12  07 00 N,-61.6667,61 40 00 W,21540,56.0,7962.0,104242.0,53.0,75775.0,Walter E. Broadway,W. E. Broadway,Walter,Elias,Broadway,Person,Botany Master,ASA Botanist ID 119319,,,,,,,,,,,,,,,,
